MiczFlor/RPi-Jukebox-RFID	1779	MIT	PHP	08/05/2026	False	A Raspberry Pi jukebox, playing local music, podcasts, web radio and streams triggered by RFID cards, web app or home au
xiph/opus	3293	NOASSERTION	C	08/24/2026	False	Modern audio compression for the internet.
libsndfile/libsndfile	1711	LGPL-2.1	C	08/01/2026	False	A C library for reading and writing sound files containing sampled audio data.
libsndfile/libsamplerate	742	BSD-2-Clause	C	08/13/2026	False	An audio Sample Rate Conversion library
Spotifyd/spotifyd	10757	GPL-3.0	Rust	05/28/2026	False	A spotify daemon
librespot-org/librespot	6973	MIT	Rust	08/22/2026	False	Open Source Spotify client library
yt-dlp/yt-dlp	187193	Unlicense	Python	08/26/2026	False	A feature-rich command-line audio/video downloader
MusicPlayerDaemon/MPD	2754	GPL-2.0	C++	08/26/2026	False	Music Player Daemon
supercollider/supercollider	6704	GPL-3.0	C++	08/20/2026	False	An audio server, programming language, and IDE for sound synthesis and algorithmic composition.
Ardour/ardour	5224	NOASSERTION	C++	08/20/2026	False	Mirror of Ardour Source Code
falkTX/Carla	2155	NOASSERTION	C++	06/22/2026	False	Audio plugin host
jackaudio/jack2	2444	GPL-2.0	C++	01/07/2026	False	jack2 codebase
RustAudio/cpal	3913	Apache-2.0	Rust	08/23/2026	False	Low-level cross-platform audio I/O library in Rust
RustAudio/rodio	2451	Apache-2.0	Rust	08/23/2026	False	Rust audio playback library
Tonejs/Midi	1000	MIT	TypeScript	07/19/2023	False	Convert MIDI into Tone.js-friendly JSON
tidalcycles/Tidal	2850	GPL-3.0	Haskell	06/13/2025	True	Pattern language
node-dmx/dmx	322	MIT	JavaScript	05/28/2026	False	DMX controller library for node.js
hundredrabbits/Orca	5073	MIT	JavaScript	11/16/2025	False	Esoteric Programming Language
node-red/node-red	23590	Apache-2.0	JavaScript	08/16/2026	False	Low-code programming for event-driven applications
sonic-pi-net/sonic-pi	12083	NOASSERTION	C++	08/12/2026	False	Code. Music. Live.
		NOASSERTION				
mixxxdj/manual	69	NOASSERTION	Python	08/26/2026	False	The Mixxx Manual
GStreamer/gstreamer	3299	NOASSERTION	C	08/27/2026	False	GStreamer open-source multimedia framework
FFmpeg/FFmpeg	63672	NOASSERTION	C	08/27/2026	False	Mirror of https://git.ffmpeg.org/ffmpeg.git
audacity/audacity	17635	NOASSERTION	C++	08/26/2026	False	Audio Editor 
LMMS/lmms	10293	GPL-2.0	C++	08/27/2026	False	Cross-platform music production software
Anjok07/ultimatevocalremovergui	25998	MIT	Python	03/13/2025	False	 GUI for a Vocal Remover that uses Deep Neural Networks.
nomadkaraoke/python-audio-separator	1327	MIT	Python	08/27/2026	False	Easy to use stem (e.g. instrumental/vocals) separation from CLI or as a python package, using a variety of amazing pre-t
		NOASSERTION				
tsirysndr/music-player	513	MIT	Rust	10/02/2024	False	 An extensible music server written in Rust 🚀🎵✨
		NOASSERTION				
		NOASSERTION				
soundcloud/soundcloud-javascript	390	NOASSERTION	JavaScript	08/21/2026	False	Official SoundCloud Javascript SDK
